Word(s),Spoken Form (If Different)
nmap,N map
under-documented,under documented
nmap
admin
Cisco
Citrix
VPN
DNS
Minecraft
beast
error
coder
key
true
host
null
harvard
drew
mongoose
note
quote
dub
stair 
gym
gyms
num
